




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6142)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	3185	2249.23	+	1.42	6.35E-100	1.00E-95
nitrogen compound metabolic process (GO:0006807)	6886	2912	2053.60	+	1.42	1.17E-86	9.27E-83
primary metabolic process (GO:0044238)	7352	3051	2192.57	+	1.39	3.81E-85	2.01E-81
metabolic process (GO:0008152)	8313	3337	2479.17	+	1.35	5.83E-83	2.31E-79
macromolecule metabolic process (GO:0043170)	6151	2646	1834.40	+	1.44	5.92E-81	1.87E-77
organic substance metabolic process (GO:0071704)	7840	3162	2338.11	+	1.35	1.56E-77	3.53E-74
cellular macromolecule metabolic process (GO:0044260)	4909	2216	1464.00	+	1.51	1.41E-77	3.72E-74
cellular nitrogen compound metabolic process (GO:0034641)	3395	1653	1012.48	+	1.63	1.28E-70	2.52E-67
nucleic acid metabolic process (GO:0090304)	2217	1196	661.17	+	1.81	2.53E-66	4.44E-63
nucleobase-containing compound metabolic process (GO:0006139)	2705	1374	806.71	+	1.70	4.38E-65	6.92E-62
heterocycle metabolic process (GO:0046483)	2891	1431	862.18	+	1.66	8.34E-63	1.20E-59
cellular aromatic compound metabolic process (GO:0006725)	2937	1437	875.89	+	1.64	1.24E-60	1.63E-57
organic cyclic compound metabolic process (GO:1901360)	3182	1502	948.96	+	1.58	3.18E-56	3.87E-53
gene expression (GO:0010467)	2117	1086	631.35	+	1.72	2.23E-51	2.51E-48
RNA metabolic process (GO:0016070)	1582	878	471.80	+	1.86	4.94E-51	5.20E-48
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	144.94	-	.02	7.81E-51	7.71E-48
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	131.52	-	 < 0.01	6.42E-49	5.97E-46
detection of chemical stimulus (GO:0009593)	522	8	155.67	-	.05	4.44E-48	3.90E-45
G protein-coupled receptor signaling pathway (GO:0007186)	1305	125	389.19	-	.32	2.03E-47	1.69E-44
cellular protein metabolic process (GO:0044267)	3590	1593	1070.64	+	1.49	4.15E-47	3.28E-44
detection of stimulus involved in sensory perception (GO:0050906)	557	13	166.11	-	.08	1.32E-46	9.95E-44
sensory perception of smell (GO:0007608)	468	5	139.57	-	.04	5.39E-46	3.87E-43
organelle organization (GO:0006996)	3567	1575	1063.78	+	1.48	1.61E-45	1.10E-42
sensory perception of chemical stimulus (GO:0007606)	543	13	161.94	-	.08	4.75E-45	3.13E-42
cellular component organization or biogenesis (GO:0071840)	6006	2366	1791.16	+	1.32	8.81E-43	5.57E-40
cellular macromolecule biosynthetic process (GO:0034645)	1639	848	488.80	+	1.73	2.91E-40	1.77E-37
